
AQ recorded in my office (indoor) in Electrum.
Dustbins (Number of particles) from PMS5003 PM sensor (first 6 DB) and
 from PM2105 PM sensors(last 6 DB)

Sizes DB = {300 500 1000 2500 5000 10000] nm

Normal day I.

2019-04-25 16:52:11  5007 1477 151 14 3 0 3148 1114 40 2 2 0 
2019-04-25 16:53:30  5106 1495 134 12 1 0 3120 1060 26 3 2 0 
2019-04-25 16:54:07  5250 1536 162 12 1 0 2808 987 33 7 2 0 
2019-04-25 16:55:22  5175 1512 186 15 10 0 2893 1008 39 6 3 0 
2019-04-25 16:56:17  5202 1530 154 5 1 0 3009 1053 29 6 2 0 
2019-04-25 16:57:18  5136 1511 137 6 2 0 3025 1049 33 4 2 0 
2019-04-25 16:59:13  4863 1427 155 9 8 1 2976 965 33 7 2 0 
2019-04-25 17:00:59  4914 1441 159 16 7 1 2855 984 31 3 2 0 
2019-04-25 17:02:36  4788 1399 150 11 4 1 2861 980 35 4 2 0 


Normal day after II. (Still effects?)

2019-04-30 10:41:45  678 205 25 1 0 0 333 112 4 0 0 0 
2019-04-30 10:42:42  534 160 14 0 0 0 348 103 6 2 0 0 
2019-04-30 10:43:42  555 158 17 0 0 0 353 113 5 1 0 0 
2019-04-30 10:44:42  534 156 12 2 0 0 321 107 4 1 0 0 
2019-04-30 10:45:42  519 155 13 2 0 0 316 101 3 0 0 0 
2019-04-30 10:46:55  585 165 15 1 1 0 335 117 4 0 0 0 
2019-04-30 10:47:46  645 177 13 0 0 0 348 111 4 1 0 0 
2019-04-30 10:48:42  489 154 8 0 0 0 367 122 4 1 0 0 
2019-04-30 10:49:42  567 172 16 2 1 0 332 107 5 1 0 0 
2019-04-30 10:50:46  573 170 17 4 0 0 326 102 1 0 0 0 
2019-04-30 10:51:46  585 175 13 0 0 0 328 122 4 1 0 0 
2019-04-30 10:52:45  612 181 14 1 0 0 343 104 4 0 0 0 
2019-04-30 10:53:42  597 186 17 1 1 0 356 110 3 0 0 0 
2019-04-30 10:54:46  486 135 10 1 1 0 350 118 4 1 0 0 
2019-04-30 10:55:42  603 171 11 1 0 0 356 111 3 1 0 0 
2019-04-30 10:56:42  552 169 18 1 1 0 340 120 4 1 0 0 
2019-04-30 10:58:14  561 160 13 1 0 0 392 134 4 0 0 0 
2019-04-30 10:58:44  549 156 7 0 0 0 392 134 4 0 0 0 
2019-04-30 10:59:46  609 182 16 2 0 0 363 119 5 1 0 0 
2019-04-30 11:00:49  609 188 14 1 0 0 370 129 4 0 0 0 
2019-04-30 11:02:09  654 193 12 0 0 0 351 126 5 0 0 0 
2019-04-30 11:02:46  627 187 12 1 0 0 351 126 5 0 0 0 
2019-04-30 11:03:54  666 184 20 2 0 0 375 131 7 1 0 0 
2019-04-30 11:04:42  678 197 21 1 1 0 383 130 4 1 0 0 
2019-04-30 11:05:42  660 204 13 1 1 0 376 117 6 1 0 0 
2019-04-30 11:06:46  642 191 17 0 0 0 395 130 3 0 0 0 
2019-04-30 11:07:58  600 170 13 2 0 0 371 128 4 1 0 0 
2019-04-30 11:08:46  759 225 14 1 0 0 371 128 4 1 0 0 
2019-04-30 11:09:42  510 148 12 1 0 0 374 120 4 2 0 0 
2019-04-30 11:10:45  657 190 15 2 1 0 360 117 4 2 0 0 
2019-04-30 11:11:46  735 210 8 1 1 0 367 126 5 1 0 0 
2019-04-30 11:13:17  633 182 18 2 2 0 363 117 5 2 0 0 
2019-04-30 11:13:47  573 160 12 1 0 0 363 117 5 2 0 0
