2019-04-16 17:12:11 NO2-2 16.16 11 
2019-04-16 17:13:11 NO2-2 14.86 23 
2019-04-16 17:14:11 NO2-2 14.19 40 
2019-04-16 17:15:11 NO2-2 13.98 53 
2019-04-16 17:16:11 NO2-2 13.83 89 
2019-04-16 17:17:11 NO2-2 13.85 98 
2019-04-16 17:18:11 NO2-2 13.54 42 
2019-04-16 17:19:11 NO2-2 13.58 52 
2019-04-16 17:20:11 NO2-2 13.46 55 
2019-04-16 17:21:11 NO2-2 14.12 48 
2019-04-16 17:22:11 NO2-2 14.11 68 
2019-04-16 17:23:11 NO2-2 13.90 74 
2019-04-16 17:24:11 NO2-2 13.93 18 
2019-04-16 17:25:11 NO2-2 14.05 11 
2019-04-16 17:26:11 NO2-2 13.86 24 
2019-04-16 17:27:11 NO2-2 13.60 44 
2019-04-16 17:28:11 NO2-2 13.48 44 
2019-04-16 17:29:11 NO2-2 13.41 50 
2019-04-16 17:30:11 NO2-2 13.44 44 
2019-04-16 17:31:11 NO2-2 13.58 37 
2019-04-16 17:32:11 NO2-2 13.55 40 
2019-04-16 17:33:11 NO2-2 13.62 52 
2019-04-16 17:34:11 NO2-2 13.62 55 
2019-04-16 17:35:11 NO2-2 13.55 36 
2019-04-16 17:36:11 NO2-2 13.40 37 
2019-04-16 17:37:11 NO2-2 13.40 45 
2019-04-16 17:38:11 NO2-2 13.49 24 
2019-04-16 17:39:11 NO2-2 13.59 42 
2019-04-16 17:40:11 NO2-2 13.44 34 
2019-04-16 17:41:11 NO2-2 13.59 36 
2019-04-16 17:42:11 NO2-2 13.50 29 
2019-04-16 17:43:11 NO2-2 13.46 39 
2019-04-16 17:44:11 NO2-2 13.58 48 
2019-04-16 17:45:11 NO2-2 13.69 68 
2019-04-16 17:46:11 NO2-2 13.44 45 
2019-04-16 17:47:11 NO2-2 13.39 36 
2019-04-16 17:48:11 NO2-2 13.17 37 
2019-04-16 17:49:11 NO2-2 13.46 53 
2019-04-16 17:50:11 NO2-2 13.47 50 
2019-04-16 17:51:11 NO2-2 13.38 32 
2019-04-16 17:52:11 NO2-2 13.40 37 
2019-04-16 17:53:11 NO2-2 13.31 23 
2019-04-16 17:54:11 NO2-2 13.29 29 
2019-04-16 17:55:11 NO2-2 13.15 37 
2019-04-16 17:56:11 NO2-2 13.25 36 
2019-04-16 17:57:11 NO2-2 13.31 50 
2019-04-16 17:58:11 NO2-2 13.36 44 
2019-04-16 17:59:11 NO2-2 13.40 71 
2019-04-16 18:00:11 NO2-2 13.59 58 
2019-04-16 18:01:11 NO2-2 13.51 32 
2019-04-16 18:02:11 NO2-2 13.37 34 
