#TIME NO2 PM2.5 PM10 63a7_no2 63a7_pm2_5 63a7_pm10 63a7_pm2_5_db 63a7_pm10_db 63a7_pm2_5_db_corr 63a7_pm10_db_corr 856b_no2 856b_pm2_5 856b_pm10 856b_pm2_5_db 856b_pm10_db 856b_pm2_5_db_corr 856b_pm10_db_corr 63a7_temp 63a7_RH 856b_temp 856b_RH 63a7_a2 856b_a2
1504173600000 16.802 4.201 6.285 23.585 3.111 4.778 3.347 6.735 4.429 8.909 NaN NaN NaN NaN NaN NaN NaN 13.267 88.222 NaN NaN 0.08 NaN
1504177200000 18.773 3.865 5.767 25.717 3.689 4.933 3.688 6.35 4.885 8.411 NaN NaN NaN NaN NaN NaN NaN 14.0 88.378 NaN NaN 0.086 NaN
1504180800000 19.152 4.168 6.49 24.747 3.622 4.622 3.696 6.17 4.927 8.224 NaN NaN NaN NaN NaN NaN NaN 14.444 88.889 NaN NaN 0.084 NaN
1504184400000 32.617 4.761 7.601 26.334 4.533 6.111 4.311 7.834 5.734 10.416 NaN NaN NaN NaN NaN NaN NaN 15.0 88.667 NaN NaN 0.089 NaN
1504188000000 35.322 3.983 6.375 39.751 3.867 5.133 3.631 6.75 4.802 8.926 NaN NaN NaN NaN NaN NaN NaN 15.0 88.133 NaN NaN 0.131 NaN
1504191600000 37.193 2.847 4.835 55.548 1.978 2.511 2.575 4.538 3.4 5.99 NaN NaN NaN NaN NaN NaN NaN 15.0 88.0 NaN NaN 0.181 NaN
1504195200000 48.178 2.389 4.077 82.568 1.733 2.222 2.37 3.983 3.098 5.206 NaN NaN NaN NaN NaN NaN NaN 15.0 87.178 NaN NaN 0.261 NaN
1504198800000 57.075 2.397 4.173 68.367 1.444 1.867 2.176 3.386 2.872 4.473 NaN NaN NaN NaN NaN NaN NaN 15.0 87.911 NaN NaN 0.219 NaN
1504202400000 40.66 1.972 3.437 35.73 0.886 1.477 1.66 3.337 2.193 4.41 NaN NaN NaN NaN NaN NaN NaN 15.0 88.091 NaN NaN 0.119 NaN
1504206000000 51.975 2.683 4.546 44.758 1.283 1.696 1.996 3.259 2.639 4.308 NaN NaN NaN NaN NaN NaN NaN 14.543 88.13 NaN NaN 0.147 NaN
1504209600000 55.877 3.52 5.74 49.518 2.5 3.432 3.012 5.074 3.973 6.69 NaN NaN NaN NaN NaN NaN NaN 14.25 87.864 NaN NaN 0.16 NaN
1504213200000 39.117 2.021 3.384 41.887 0.692 1.308 1.573 2.597 2.062 3.403 NaN NaN NaN NaN NaN NaN NaN 14.0 87.462 NaN NaN 0.137 NaN
1504216800000 20.375 1.626 2.603 26.776 0.644 0.867 1.423 2.633 1.879 3.476 NaN NaN NaN NaN NaN NaN NaN 13.933 88.0 NaN NaN 0.089 NaN
1504220400000 17.389 1.138 1.845 20.43 0.087 0.13 0.716 0.874 0.945 1.155 NaN NaN NaN NaN NaN NaN NaN 13.0 87.978 NaN NaN 0.068 NaN
1504224000000 6.601 1.269 2.136 17.841 0.244 0.378 0.901 1.627 1.19 2.149 NaN NaN NaN NaN NaN NaN NaN 13.0 88.044 NaN NaN 0.06 NaN
1504227600000 2.914 1.011 1.707 18.809 0.045 0.136 0.672 1.002 0.89 1.325 NaN NaN NaN NaN NaN NaN NaN 13.0 88.318 NaN NaN 0.063 NaN
1504231200000 9.487 1.332 2.24 19.745 0.109 0.283 0.894 1.42 1.186 1.885 NaN NaN NaN NaN NaN NaN NaN 12.63 88.348 NaN NaN 0.067 NaN
1504234800000 22.483 1.406 2.36 23.766 0.222 0.556 0.984 1.683 1.312 2.244 NaN NaN NaN NaN NaN NaN NaN 12.0 88.867 NaN NaN 0.08 NaN
1504238400000 41.477 1.538 2.659 52.377 0.136 0.386 1.024 1.519 1.35 2.005 NaN NaN NaN NaN NaN NaN NaN 12.0 88.023 NaN NaN 0.169 NaN
1504242000000 71.757 2.511 4.44 131.897 1.196 1.652 1.91 3.015 2.706 4.324 NaN NaN NaN NaN NaN NaN NaN 12.196 86.609 NaN NaN 0.405 NaN
1504245600000 84.84 2.786 5.044 193.129 1.341 1.705 2.204 3.249 4.966 7.206 NaN NaN NaN NaN NaN NaN NaN 14.364 80.159 NaN NaN 0.574 NaN
1504249200000 62.517 3.475 9.409 176.523 2.356 2.8 2.906 4.358 8.925 13.468 NaN NaN NaN NaN NaN NaN NaN 18.378 64.111 NaN NaN 0.53 NaN
1504252800000 59.998 3.508 13.501 135.839 2.239 2.783 2.78 4.384 9.361 14.654 NaN NaN NaN NaN NaN NaN NaN 18.652 61.326 NaN NaN 0.417 NaN
1504256400000 48.413 4.615 27.83 134.24 1.677 2.226 2.599 4.083 8.862 13.919 NaN NaN NaN NaN NaN NaN NaN 18.129 62.774 NaN NaN 0.411 NaN
1504260000000 41.86 3.56 17.875 96.588 1.477 1.955 2.263 3.72 7.239 11.914 NaN NaN NaN NaN NaN NaN NaN 18.864 58.136 NaN NaN 0.301 NaN
1504263600000 69.552 3.604 17.227 112.88 1.83 2.362 2.567 4.189 8.013 13.075 NaN NaN NaN NaN NaN NaN NaN 19.0 55.149 NaN NaN 0.351 NaN
1504267200000 52.447 3.304 15.345 116.83 1.477 1.841 2.091 3.136 6.302 9.463 NaN NaN NaN NaN NaN NaN NaN 19.432 51.977 NaN NaN 0.362 NaN
1504270800000 78.53 2.875 11.828 121.413 1.913 2.152 2.535 3.482 7.376 10.11 NaN NaN NaN NaN NaN NaN NaN 20.022 48.326 NaN NaN 0.374 NaN
1504274400000 86.422 3.101 13.283 137.78 1.535 2.0 2.353 3.703 6.806 10.711 NaN NaN NaN NaN NaN NaN NaN 20.0 47.977 NaN NaN 0.421 NaN
1504278000000 94.243 3.708 17.152 180.592 1.744 2.128 2.573 3.628 7.758 10.918 NaN NaN NaN NaN NaN NaN NaN 20.872 45.077 NaN NaN 0.54 NaN
1504281600000 77.455 3.542 15.095 183.086 1.6 2.022 2.315 3.686 6.68 10.639 NaN NaN NaN NaN NaN NaN NaN 20.022 47.511 NaN NaN 0.546 NaN
1504285200000 77.845 4.36 15.088 191.093 2.733 3.289 3.088 4.54 9.181 13.503 NaN NaN NaN NaN NaN NaN NaN 19.044 50.311 NaN NaN 0.567 NaN
1504288800000 84.653 4.383 17.523 266.643 2.545 3.159 3.215 4.59 9.923 14.178 NaN NaN NaN NaN NaN NaN NaN 18.227 54.773 NaN NaN 0.761 NaN
1504292400000 65.375 4.45 19.17 260.852 2.067 2.467 2.715 3.844 9.261 13.106 NaN NaN NaN NaN NaN NaN NaN 16.644 62.044 NaN NaN 0.746 NaN
1504296000000 68.96 4.561 21.76 256.781 1.857 2.357 2.624 3.949 8.75 13.307 NaN NaN NaN NaN NaN NaN NaN 16.0 64.833 NaN NaN 0.737 NaN
1504299600000 57.227 5.065 19.88 332.903 2.133 2.6 2.899 4.189 7.333 10.619 NaN NaN NaN NaN NaN NaN NaN 14.822 70.556 NaN NaN 0.915 NaN
1504303200000 45.24 4.874 9.838 382.585 1.977 2.5 2.691 4.093 7.329 11.132 NaN NaN NaN NaN NaN NaN NaN 13.614 75.5 NaN NaN 1.025 NaN
1504306800000 37.445 4.645 9.381 382.436 1.652 2.065 2.626 3.836 7.653 11.182 NaN NaN NaN NaN NaN NaN NaN 12.87 77.63 NaN NaN 1.026 NaN
1504310400000 24.47 4.676 9.45 426.695 1.568 2.409 2.377 4.0 7.052 11.87 NaN NaN NaN NaN NaN NaN NaN 12.0 79.045 NaN NaN 1.117 NaN
1504314000000 26.1 4.014 8.066 435.913 1.0 1.4 1.954 2.788 5.829 8.31 NaN NaN NaN NaN NaN NaN NaN 12.0 79.511 NaN NaN 1.136 NaN
1504317600000 29.157 3.96 7.958 438.767 1.25 1.773 2.016 3.446 4.399 7.393 NaN NaN NaN NaN NaN NaN NaN 11.5 80.682 NaN NaN 1.141 NaN
1504321200000 18.35 3.776 7.54 465.51 1.63 2.087 2.138 2.901 3.937 5.341 NaN NaN NaN NaN NaN NaN NaN 11.0 81.826 NaN NaN 1.195 NaN
1504324800000 19.705 3.494 6.944 445.331 1.244 2.4 2.003 3.643 3.732 6.797 NaN NaN NaN NaN NaN NaN NaN 10.311 82.822 NaN NaN 1.156 NaN
1504328400000 18.578 3.72 7.362 438.421 1.289 1.667 2.107 2.887 3.909 5.362 NaN NaN NaN NaN NaN NaN NaN 10.0 82.467 NaN NaN 1.142 NaN
1504332000000 15.838 4.181 8.056 414.075 2.956 3.533 3.144 4.515 8.597 12.283 NaN NaN NaN NaN NaN NaN NaN 11.822 77.6 NaN NaN 1.091 NaN
1504335600000 17.727 4.406 8.537 382.354 2.886 3.727 3.422 5.209 8.425 12.82 NaN NaN NaN NaN NaN NaN NaN 14.432 70.341 NaN NaN 1.025 NaN
1504339200000 21.45 4.225 7.955 326.426 3.156 3.778 3.504 5.144 8.369 12.291 NaN NaN NaN NaN NaN NaN NaN 16.289 68.289 NaN NaN 0.902 NaN
1504342800000 7.64 2.675 4.884 131.017 1.761 1.891 2.644 3.749 6.799 9.616 NaN NaN NaN NaN NaN NaN NaN 17.913 67.304 NaN NaN 0.405 NaN
1504346400000 12.92 2.449 6.001 80.302 1.5 1.932 2.443 3.653 8.348 12.489 NaN NaN NaN NaN NaN NaN NaN 19.227 62.114 NaN NaN 0.257 NaN
1504350000000 14.01 2.459 5.95 62.31 1.37 1.826 2.192 3.27 7.096 10.645 NaN NaN NaN NaN NaN NaN NaN 19.261 61.674 NaN NaN 0.201 NaN
1504353600000 10.017 4.257 7.244 23.562 3.773 5.273 3.605 6.135 5.729 9.952 NaN NaN NaN NaN NaN NaN NaN 13.773 82.773 NaN NaN 0.079 NaN
1504357200000 30.087 3.476 5.767 87.321 2.644 3.267 3.092 4.598 4.219 6.287 NaN NaN NaN NaN NaN NaN NaN 14.444 86.556 NaN NaN 0.273 NaN
1504360800000 13.098 1.633 2.665 30.254 0.644 0.978 1.516 2.834 2.735 5.129 NaN NaN NaN NaN NaN NaN NaN 13.844 84.133 NaN NaN 0.101 NaN
1504364400000 15.87 2.084 3.367 42.017 1.022 1.467 1.937 3.281 3.549 6.036 NaN NaN NaN NaN NaN NaN NaN 14.156 84.244 NaN NaN 0.137 NaN
1504368000000 11.241 1.78 3.013 38.794 0.467 0.733 1.363 2.036 2.819 4.345 NaN NaN NaN NaN NaN NaN NaN 15.0 82.156 NaN NaN 0.128 NaN
1504371600000 13.723 1.784 3.045 41.353 0.267 0.467 1.227 1.818 3.102 4.669 NaN NaN NaN NaN NaN NaN NaN 14.244 79.822 NaN NaN 0.136 NaN
1504375200000 14.71 2.188 3.739 53.674 0.909 1.341 1.728 2.69 4.63 7.26 NaN NaN NaN NaN NaN NaN NaN 14.0 80.273 NaN NaN 0.175 NaN
1504378800000 16.61 2.166 3.695 40.321 0.652 1.022 1.52 2.441 4.475 7.18 NaN NaN NaN NaN NaN NaN NaN 13.065 78.413 NaN NaN 0.133 NaN
1504382400000 18.325 2.191 3.825 38.08 0.6 1.044 1.577 2.545 4.631 7.472 NaN NaN NaN NaN NaN NaN NaN 12.978 78.289 NaN NaN 0.125 NaN
1504386000000 40.538 2.117 4.121 130.181 0.406 0.656 1.094 1.963 3.271 5.877 NaN NaN NaN NaN NaN NaN NaN 12.0 79.688 NaN NaN 0.399 NaN
1504389600000 26.975 2.393 4.617 96.054 0.644 0.8 1.414 2.005 3.203 4.409 NaN NaN NaN NaN NaN NaN NaN 12.0 80.733 NaN NaN 0.301 NaN
1504393200000 17.705 1.601 3.09 66.226 0.132 0.263 0.774 1.315 1.432 2.429 NaN NaN NaN NaN NaN NaN NaN 11.553 82.263 NaN NaN 0.214 NaN
1504396800000 11.867 1.492 2.834 46.722 0.022 0.2 0.589 1.261 1.111 2.38 NaN NaN NaN NaN NaN NaN NaN 11.0 83.822 NaN NaN 0.154 NaN
1504400400000 11.745 1.579 3.064 65.928 0.022 0.244 0.687 1.117 1.221 1.943 NaN NaN NaN NaN NaN NaN NaN 11.0 85.067 NaN NaN 0.212 NaN
1504404000000 12.042 1.457 2.818 65.628 0.022 0.2 0.643 1.127 0.948 1.572 NaN NaN NaN NaN NaN NaN NaN 11.0 85.733 NaN NaN 0.212 NaN
1504407600000 5.788 1.117 2.125 43.483 0.0 0.0 0.461 0.676 0.666 0.943 NaN NaN NaN NaN NaN NaN NaN 10.644 85.822 NaN NaN 0.144 NaN
1504411200000 6.648 1.103 2.1 48.839 0.0 0.044 0.425 0.587 0.735 1.01 NaN NaN NaN NaN NaN NaN NaN 10.533 85.289 NaN NaN 0.158 NaN
1504414800000 8.378 1.144 2.2 57.791 0.022 0.044 0.49 0.759 0.929 1.441 NaN NaN NaN NaN NaN NaN NaN 11.0 84.422 NaN NaN 0.188 NaN
1504418400000 9.511 0.954 1.786 41.012 0.0 0.068 0.454 0.729 0.862 1.369 NaN NaN NaN NaN NaN NaN NaN 11.705 81.455 NaN NaN 0.136 NaN
1504422000000 7.276 0.856 1.549 34.899 0.022 0.043 0.403 0.561 1.185 1.657 NaN NaN NaN NaN NaN NaN NaN 13.283 78.478 NaN NaN 0.115 NaN
1504425600000 8.774 0.909 1.635 35.74 0.022 0.133 0.502 0.744 1.329 2.007 NaN NaN NaN NaN NaN NaN NaN 15.333 74.089 NaN NaN 0.118 NaN
1504429200000 5.059 1.249 2.176 32.471 0.25 0.432 0.998 1.438 2.481 3.576 NaN NaN NaN NaN NaN NaN NaN 16.682 70.909 NaN NaN 0.107 NaN
1504432800000 6.633 1.579 3.728 34.449 0.659 0.976 1.461 2.228 4.313 6.472 NaN NaN NaN NaN NaN NaN NaN 17.61 65.61 NaN NaN 0.114 NaN
1504436400000 4.809 2.216 4.604 20.498 1.378 1.667 2.051 2.831 6.436 8.927 NaN NaN NaN NaN NaN NaN NaN 18.222 55.422 NaN NaN 0.068 NaN
1504440000000 5.72 2.297 4.229 17.247 2.067 2.711 2.537 4.151 7.857 12.859 NaN NaN NaN NaN NaN NaN NaN 18.0 54.0 NaN NaN 0.058 NaN
1504443600000 4.75 1.516 3.219 15.937 0.6 0.711 1.542 1.865 4.585 5.548 NaN NaN NaN NaN NaN NaN NaN 18.0 51.222 NaN NaN 0.054 NaN
1504447200000 7.043 1.497 2.957 15.136 0.489 0.556 1.419 1.849 4.107 5.351 NaN NaN NaN NaN NaN NaN NaN 18.0 48.4 NaN NaN 0.05 NaN
1504450800000 6.484 1.691 3.495 14.921 0.432 0.477 1.299 1.629 3.793 4.77 NaN NaN NaN NaN NaN NaN NaN 18.0 48.727 NaN NaN 0.05 NaN
1504454400000 5.681 2.023 4.329 16.042 0.804 1.174 1.682 2.524 5.128 7.685 NaN NaN NaN NaN NaN NaN NaN 17.696 52.978 NaN NaN 0.055 NaN
1504458000000 6.593 3.079 6.703 23.911 2.089 2.711 2.815 4.133 9.434 13.833 NaN NaN NaN NaN NaN NaN NaN 17.0 60.889 NaN NaN 0.08 NaN
1504461600000 8.36 3.443 8.021 30.029 2.324 3.054 2.921 4.916 9.535 16.208 NaN NaN NaN NaN NaN NaN NaN 16.378 64.162 NaN NaN 0.101 NaN
1504465200000 8.095 3.549 7.488 36.039 2.378 3.244 3.038 4.652 7.369 11.285 NaN NaN NaN NaN NaN NaN NaN 15.689 69.4 NaN NaN 0.12 NaN
1504468800000 5.578 3.616 6.36 38.762 2.622 3.289 3.284 4.978 8.857 13.465 NaN NaN NaN NaN NaN NaN NaN 15.0 75.0 NaN NaN 0.128 NaN
1504472400000 6.09 3.849 6.854 39.803 2.489 3.356 3.039 4.733 8.785 13.68 NaN NaN NaN NaN NaN NaN NaN 15.0 77.089 NaN NaN 0.132 NaN
1504476000000 4.224 3.515 6.186 30.508 2.267 3.111 2.904 4.302 7.947 11.726 NaN NaN NaN NaN NaN NaN NaN 15.0 75.644 NaN NaN 0.101 NaN
1504479600000 6.933 3.164 6.222 32.104 1.444 1.978 2.276 3.325 5.993 8.741 NaN NaN NaN NaN NaN NaN NaN 14.956 73.467 NaN NaN 0.107 NaN
1504483200000 2.005 2.643 6.539 18.071 0.974 1.256 1.762 2.568 4.318 6.44 NaN NaN NaN NaN NaN NaN NaN 14.769 66.744 NaN NaN 0.06 NaN
1504486800000 1.742 2.519 6.175 16.612 0.6 0.822 1.518 2.217 3.604 5.262 NaN NaN NaN NaN NaN NaN NaN 14.0 67.867 NaN NaN 0.058 NaN
1504490400000 2.171 2.391 6.384 15.05 0.5 0.864 1.428 2.363 3.377 5.581 NaN NaN NaN NaN NaN NaN NaN 14.0 67.545 NaN NaN 0.051 NaN
1504494000000 2.54 2.351 6.204 14.501 0.578 0.844 1.474 2.227 3.564 5.381 NaN NaN NaN NaN NaN NaN NaN 13.244 69.111 NaN NaN 0.049 NaN
1504497600000 7.804 2.62 6.825 16.65 0.591 1.068 1.558 3.07 3.842 7.567 NaN NaN NaN NaN NaN NaN NaN 13.0 70.477 NaN NaN 0.057 NaN
1504501200000 11.611 2.74 5.16 21.513 0.804 1.152 1.777 2.461 4.832 6.709 NaN NaN NaN NaN NaN NaN NaN 12.935 75.304 NaN NaN 0.073 NaN
1504504800000 13.967 2.897 5.287 27.52 1.622 2.133 1.941 3.608 5.644 10.505 NaN NaN NaN NaN NaN NaN NaN 12.911 77.511 NaN NaN 0.092 NaN
1504508400000 16.415 2.97 5.409 25.152 1.067 1.6 1.922 3.159 5.178 8.474 NaN NaN NaN NaN NaN NaN NaN 13.0 75.289 NaN NaN 0.085 NaN
1504512000000 10.128 3.176 5.707 23.872 2.089 2.911 2.389 4.217 5.953 10.984 NaN NaN NaN NaN NaN NaN NaN 12.778 79.444 NaN NaN 0.082 NaN
1504515600000 8.774 3.214 5.694 25.381 1.886 2.455 2.339 3.357 5.351 7.733 NaN NaN NaN NaN NaN NaN NaN 12.659 80.955 NaN NaN 0.085 NaN
1504519200000 10.178 3.319 5.806 25.638 1.522 2.022 2.322 3.821 6.369 10.716 NaN NaN NaN NaN NaN NaN NaN 13.0 79.674 NaN NaN 0.086 NaN
1504522800000 10.79 3.501 6.16 24.773 1.614 2.295 2.364 4.097 6.561 11.404 NaN NaN NaN NaN NaN NaN NaN 13.409 79.841 NaN NaN 0.085 NaN
1504526400000 9.752 3.493 6.319 23.534 1.956 3.333 2.51 5.307 6.794 14.399 NaN NaN NaN NaN NaN NaN NaN 14.356 75.178 NaN NaN 0.08 NaN
1504530000000 11.216 3.514 6.529 21.414 1.841 2.659 2.405 4.275 6.249 11.138 NaN NaN NaN NaN NaN NaN NaN 15.0 73.614 NaN NaN 0.074 NaN
1504533600000 12.309 3.569 6.318 22.064 1.766 2.298 2.492 4.5 6.576 11.895 NaN NaN NaN NaN NaN NaN NaN 15.0 74.596 NaN NaN 0.076 NaN
1504537200000 17.48 3.752 7.901 24.092 2.022 2.978 2.575 4.753 6.288 11.557 NaN NaN NaN NaN NaN NaN NaN 15.756 69.8 NaN NaN 0.081 NaN
1504540800000 13.177 3.671 8.871 19.08 1.767 2.047 2.523 3.48 5.953 8.21 NaN NaN NaN NaN NaN NaN NaN 11.814 67.395 NaN NaN 0.065 NaN
1504544400000 9.839 3.582 9.636 17.439 1.66 2.383 2.303 4.08 5.854 10.421 NaN NaN NaN NaN NaN NaN NaN 15.17 65.894 NaN NaN 0.06 NaN
1504548000000 8.726 3.288 9.161 13.913 1.156 1.733 2.052 3.209 7.234 11.344 NaN NaN NaN NaN NaN NaN NaN 15.0 64.6 NaN NaN 0.046 NaN
1504551600000 7.568 3.355 9.181 11.702 1.0 1.233 1.855 2.642 5.118 7.44 NaN NaN NaN NaN NaN NaN NaN 15.0 65.977 NaN NaN 0.039 NaN
1504555200000 7.599 3.397 9.284 10.964 1.023 1.614 1.91 3.01 4.521 7.137 NaN NaN NaN NaN NaN NaN NaN 15.0 67.682 NaN NaN 0.038 NaN
1504558800000 5.891 3.573 9.836 11.638 0.956 1.378 1.729 3.019 4.205 7.341 NaN NaN NaN NaN NaN NaN NaN 15.0 69.556 NaN NaN 0.04 NaN
1504562400000 4.762 3.691 9.484 11.384 1.152 1.696 2.022 3.337 5.022 8.288 NaN NaN NaN NaN NaN NaN NaN 15.0 70.957 NaN NaN 0.04 NaN
1504566000000 5.253 3.726 9.908 12.335 1.25 1.682 2.028 3.431 5.026 8.504 NaN NaN NaN NaN NaN NaN NaN 15.0 70.773 NaN NaN 0.041 NaN
1504569600000 3.641 3.939 10.182 13.742 1.578 2.578 2.194 4.56 5.517 11.45 NaN NaN NaN NaN NaN NaN NaN 15.0 71.867 NaN NaN 0.045 NaN
1504573200000 4.42 4.346 11.137 17.246 1.311 2.044 2.126 3.981 5.394 10.107 NaN NaN NaN NaN NaN NaN NaN 15.0 72.489 NaN NaN 0.059 NaN
1504576800000 4.543 4.199 11.447 19.106 1.6 2.267 2.35 4.071 5.924 10.258 NaN NaN NaN NaN NaN NaN NaN 14.178 72.022 NaN NaN 0.062 NaN
1504580400000 5.719 3.911 10.132 18.98 1.444 2.178 2.365 3.978 5.796 9.748 NaN NaN NaN NaN NaN NaN NaN 14.0 70.067 NaN NaN 0.064 NaN
1504584000000 8.331 3.755 9.622 23.118 1.568 2.091 2.477 3.522 6.272 8.921 NaN NaN NaN NaN NaN NaN NaN 13.455 72.364 NaN NaN 0.079 NaN
1504587600000 15.488 3.756 10.49 38.002 1.533 1.933 2.44 3.408 6.126 8.554 NaN NaN NaN NaN NaN NaN NaN 13.244 71.778 NaN NaN 0.126 NaN
1504591200000 21.462 3.998 10.58 42.407 2.273 3.273 2.974 4.816 8.596 13.852 NaN NaN NaN NaN NaN NaN NaN 15.023 66.182 NaN NaN 0.139 NaN
1504594800000 21.321 4.275 10.752 37.447 3.15 4.0 3.441 5.771 10.817 18.189 NaN NaN NaN NaN NaN NaN NaN 17.75 55.475 NaN NaN 0.125 NaN
1504598400000 13.492 4.139 10.703 26.346 3.205 3.795 3.442 5.587 10.741 17.461 NaN NaN NaN NaN NaN NaN NaN 17.455 54.455 NaN NaN 0.088 NaN
1504602000000 18.953 3.897 10.69 27.934 2.733 3.489 3.231 4.925 10.086 15.388 NaN NaN NaN NaN NaN NaN NaN 17.0 55.467 NaN NaN 0.094 NaN
1504605600000 19.77 3.591 10.315 27.896 2.667 3.311 3.051 4.637 9.293 14.111 NaN NaN NaN NaN NaN NaN NaN 17.6 53.0 NaN NaN 0.093 NaN
1504609200000 15.037 3.104 8.639 17.889 1.378 1.822 2.22 3.269 6.783 10.008 NaN NaN NaN NaN NaN NaN NaN 17.333 53.311 NaN NaN 0.061 NaN
1504612800000 7.646 2.63 6.659 15.684 0.933 1.467 1.775 3.12 5.536 9.711 NaN NaN NaN NaN NaN NaN NaN 17.422 54.489 NaN NaN 0.054 NaN
1504616400000 18.46 2.56 8.086 16.365 0.622 0.822 1.484 2.237 4.509 6.787 NaN NaN NaN NaN NaN NaN NaN 17.311 52.867 NaN NaN 0.055 NaN
1504620000000 20.885 2.464 7.658 15.858 0.667 1.2 1.435 2.807 4.437 8.678 NaN NaN NaN NaN NaN NaN NaN 17.0 53.778 NaN NaN 0.054 NaN
1504623600000 21.055 2.602 8.355 17.392 1.067 1.622 1.8 3.144 5.607 9.789 NaN NaN NaN NaN NaN NaN NaN 16.8 55.467 NaN NaN 0.058 NaN
1504627200000 31.867 2.811 9.632 23.0 0.844 1.156 1.67 2.799 5.346 8.981 NaN NaN NaN NaN NaN NaN NaN 16.4 58.222 NaN NaN 0.078 NaN
1504630800000 22.032 2.589 7.963 22.134 0.778 1.356 1.626 2.944 5.398 9.78 NaN NaN NaN NaN NaN NaN NaN 15.867 60.422 NaN NaN 0.075 NaN
1504634400000 12.723 2.573 6.859 15.981 0.578 1.022 1.487 2.697 4.577 8.396 NaN NaN NaN NaN NaN NaN NaN 15.0 65.0 NaN NaN 0.054 NaN
1504638000000 13.342 2.695 7.557 17.465 0.556 0.778 1.575 2.248 3.862 5.503 NaN NaN NaN NaN NaN NaN NaN 14.0 69.956 NaN NaN 0.06 NaN
1504641600000 12.623 2.923 5.832 19.709 0.711 1.111 1.704 2.941 4.367 7.552 NaN NaN NaN NaN NaN NaN NaN 13.4 73.244 NaN NaN 0.067 NaN
1504645200000 13.261 3.024 5.572 23.078 0.822 1.133 1.804 3.095 5.125 8.802 NaN NaN NaN NaN NaN NaN NaN 13.0 76.156 NaN NaN 0.078 NaN
1504648800000 8.83 2.926 5.445 23.72 0.867 1.156 1.665 2.418 4.77 6.996 NaN NaN NaN NaN NaN NaN NaN 12.356 79.044 NaN NaN 0.08 NaN
1504652400000 11.851 3.243 6.155 36.849 1.067 1.622 1.796 3.275 3.72 6.712 NaN NaN NaN NaN NaN NaN NaN 11.689 81.711 NaN NaN 0.122 NaN
1504656000000 6.251 3.14 5.864 28.891 0.956 1.378 1.762 2.972 3.31 5.58 NaN NaN NaN NaN NaN NaN NaN 11.0 83.511 NaN NaN 0.096 NaN
1504659600000 5.457 3.419 6.413 24.857 1.422 2.333 1.978 4.452 3.531 7.981 NaN NaN NaN NaN NaN NaN NaN 11.0 84.978 NaN NaN 0.084 NaN
1504663200000 6.464 3.602 6.834 26.787 1.467 2.156 2.166 3.86 3.104 5.491 NaN NaN NaN NaN NaN NaN NaN 11.0 85.867 NaN NaN 0.09 NaN
1504666800000 18.471 4.172 8.096 87.035 1.778 2.556 2.425 3.555 4.558 6.7 NaN NaN NaN NaN NaN NaN NaN 11.2 84.133 NaN NaN 0.271 NaN
1504670400000 44.703 5.169 10.28 253.756 3.636 4.5 3.558 5.84 6.607 10.853 NaN NaN NaN NaN NaN NaN NaN 11.977 82.545 NaN NaN 0.728 NaN
1504674000000 50.94 5.856 11.762 286.457 3.932 5.318 3.944 6.557 7.239 12.039 NaN NaN NaN NaN NaN NaN NaN 12.455 81.591 NaN NaN 0.81 NaN
1504677600000 38.722 5.207 10.388 227.357 4.0 5.133 3.983 5.838 9.784 14.399 NaN NaN NaN NaN NaN NaN NaN 13.867 76.422 NaN NaN 0.661 NaN
1504681200000 55.525 5.19 17.707 163.583 3.133 3.956 3.661 5.489 11.188 16.839 NaN NaN NaN NaN NaN NaN NaN 18.089 58.089 NaN NaN 0.491 NaN
1504684800000 43.33 4.964 18.512 95.75 2.773 3.591 3.222 4.927 10.727 16.411 NaN NaN NaN NaN NaN NaN NaN 16.409 60.523 NaN NaN 0.302 NaN
1504688400000 50.02 4.539 16.977 85.459 2.848 3.63 3.169 4.905 9.929 15.368 NaN NaN NaN NaN NaN NaN NaN 16.957 56.696 NaN NaN 0.269 NaN
1504692000000 36.263 4.095 13.457 45.361 2.512 3.14 3.037 4.557 10.138 15.239 NaN NaN NaN NaN NaN NaN NaN 16.0 60.698 NaN NaN 0.149 NaN
1504695600000 53.252 5.084 18.845 79.327 3.311 4.422 3.611 6.138 11.984 20.461 NaN NaN NaN NaN NaN NaN NaN 16.222 60.4 NaN NaN 0.253 NaN
1504699200000 53.917 4.964 19.675 66.451 3.25 4.136 3.724 5.786 11.188 17.381 NaN NaN NaN NaN NaN NaN NaN 17.75 50.909 NaN NaN 0.212 NaN
1504702800000 42.097 4.13 14.752 40.832 2.63 3.63 3.269 5.558 9.385 15.993 NaN NaN NaN NaN NaN NaN NaN 17.848 47.826 NaN NaN 0.132 NaN
1504706400000 42.672 4.684 17.038 36.079 4.622 5.822 4.247 7.205 12.193 20.655 NaN NaN NaN NaN NaN NaN NaN 17.511 47.6 NaN NaN 0.118 NaN
1504710000000 70.095 5.175 19.03 70.859 4.659 5.614 4.539 6.987 13.097 20.141 NaN NaN NaN NaN NaN NaN NaN 17.818 48.295 NaN NaN 0.226 NaN
1504713600000 37.708 4.412 13.424 43.926 3.311 4.2 3.631 5.836 11.393 18.32 NaN NaN NaN NaN NaN NaN NaN 16.289 56.222 NaN NaN 0.142 NaN
